sample-id,absolute-filepath,direction
GD105A,/Users/georgia/Dropbox (Hogan Lab)/Digital_notebook/2021_08_02_sputum_gDNA_for_amplicon_seq/data_16S/GD105A_16s_S17_L002_R1_001.fastq.gz,forward
GD105B,/Users/georgia/Dropbox (Hogan Lab)/Digital_notebook/2021_08_02_sputum_gDNA_for_amplicon_seq/data_16S/GD105B_16s_S18_L002_R1_001.fastq.gz,forward
GD106,/Users/georgia/Dropbox (Hogan Lab)/Digital_notebook/2021_08_02_sputum_gDNA_for_amplicon_seq/data_16S/GD106_16s_S16_L002_R1_001.fastq.gz,forward
GD108,/Users/georgia/Dropbox (Hogan Lab)/Digital_notebook/2021_08_02_sputum_gDNA_for_amplicon_seq/data_16S/GD108_16s_S15_L002_R1_001.fastq.gz,forward
GD120,/Users/georgia/Dropbox (Hogan Lab)/Digital_notebook/2021_08_02_sputum_gDNA_for_amplicon_seq/data_16S/GD120_16s_S9_L002_R1_001.fastq.gz,forward
GD122,/Users/georgia/Dropbox (Hogan Lab)/Digital_notebook/2021_08_02_sputum_gDNA_for_amplicon_seq/data_16S/GD122_16s_S1_L002_R1_001.fastq.gz,forward
GD124,/Users/georgia/Dropbox (Hogan Lab)/Digital_notebook/2021_08_02_sputum_gDNA_for_amplicon_seq/data_16S/GD124_16s_S2_L002_R1_001.fastq.gz,forward
GD145,/Users/georgia/Dropbox (Hogan Lab)/Digital_notebook/2021_08_02_sputum_gDNA_for_amplicon_seq/data_16S/GD145_16s_S10_L002_R1_001.fastq.gz,forward
GD153,/Users/georgia/Dropbox (Hogan Lab)/Digital_notebook/2021_08_02_sputum_gDNA_for_amplicon_seq/data_16S/GD153_16s_S3_L002_R1_001.fastq.gz,forward
GD201,/Users/georgia/Dropbox (Hogan Lab)/Digital_notebook/2021_08_02_sputum_gDNA_for_amplicon_seq/data_16S/GD201_16s_S8_L002_R1_001.fastq.gz,forward
GD203,/Users/georgia/Dropbox (Hogan Lab)/Digital_notebook/2021_08_02_sputum_gDNA_for_amplicon_seq/data_16S/GD203_16s_S7_L002_R1_001.fastq.gz,forward
GD204A,/Users/georgia/Dropbox (Hogan Lab)/Digital_notebook/2021_08_02_sputum_gDNA_for_amplicon_seq/data_16S/GD204A_16s_S19_L002_R1_001.fastq.gz,forward
GD220,/Users/georgia/Dropbox (Hogan Lab)/Digital_notebook/2021_08_02_sputum_gDNA_for_amplicon_seq/data_16S/GD220_16s_S6_L002_R1_001.fastq.gz,forward
GD233,/Users/georgia/Dropbox (Hogan Lab)/Digital_notebook/2021_08_02_sputum_gDNA_for_amplicon_seq/data_16S/GD233_16s_S5_L002_R1_001.fastq.gz,forward
GD239,/Users/georgia/Dropbox (Hogan Lab)/Digital_notebook/2021_08_02_sputum_gDNA_for_amplicon_seq/data_16S/GD239_16s_S11_L002_R1_001.fastq.gz,forward
GD243,/Users/georgia/Dropbox (Hogan Lab)/Digital_notebook/2021_08_02_sputum_gDNA_for_amplicon_seq/data_16S/GD243_16s_S4_L002_R1_001.fastq.gz,forward
