sample-id,absolute-filepath,direction
GD105A,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD105A_ITS_S17_L002_R1_001.fastq.gz,forward
GD105A,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD105A_ITS_S17_L002_R2_001.fastq.gz,reverse
GD105B,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD105B_ITS_S18_L002_R1_001.fastq.gz,forward
GD105B,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD105B_ITS_S18_L002_R2_001.fastq.gz,reverse
GD106,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD106_ITS_S16_L002_R1_001.fastq.gz,forward
GD106,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD106_ITS_S16_L002_R2_001.fastq.gz,reverse
GD108,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD108_ITS_S15_L002_R1_001.fastq.gz,forward
GD108,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD108_ITS_S15_L002_R2_001.fastq.gz,reverse
GD120,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD120_ITS_S9_L002_R1_001.fastq.gz,forward
GD120,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD120_ITS_S9_L002_R2_001.fastq.gz,reverse
GD122,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD122_ITS_S1_L002_R1_001.fastq.gz,forward
GD122,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD122_ITS_S1_L002_R2_001.fastq.gz,reverse
GD124,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD124_ITS_S2_L002_R1_001.fastq.gz,forward
GD124,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD124_ITS_S2_L002_R2_001.fastq.gz,reverse
GD125,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD125_ITS_S12_L002_R1_001.fastq.gz,forward
GD125,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD125_ITS_S12_L002_R2_001.fastq.gz,reverse
GD133,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD133_ITS_S14_L002_R1_001.fastq.gz,forward
GD133,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD133_ITS_S14_L002_R2_001.fastq.gz,reverse
GD138,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD138_ITS_S13_L002_R1_001.fastq.gz,forward
GD138,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD138_ITS_S13_L002_R2_001.fastq.gz,reverse
GD145,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD145_ITS_S10_L002_R1_001.fastq.gz,forward
GD145,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD145_ITS_S10_L002_R2_001.fastq.gz,reverse
GD201,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD201_ITS_S8_L002_R1_001.fastq.gz,forward
GD201,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD201_ITS_S8_L002_R2_001.fastq.gz,reverse
GD203,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD203_ITS_S7_L002_R1_001.fastq.gz,forward
GD203,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD203_ITS_S7_L002_R2_001.fastq.gz,reverse
GD204B,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD204B_ITS_S20_L002_R1_001.fastq.gz,forward
GD204B,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD204B_ITS_S20_L002_R2_001.fastq.gz,reverse
GD220,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD220_ITS_S6_L002_R1_001.fastq.gz,forward
GD220,/dartfs-hpc/scratch/f002bx6/data_ITS1/GD220_ITS_S6_L002_R2_001.fastq.gz,reverse
