sample-id,absolute-filepath,direction
GD105A,/dartfs-hpc/scratch/f002bx6/data_16S/GD105A_16s_S17_L002_R1_001.fastq.gz,forward
GD105A,/dartfs-hpc/scratch/f002bx6/data_16S/GD105A_16s_S17_L002_R2_001.fastq.gz,reverse
GD105B,/dartfs-hpc/scratch/f002bx6/data_16S/GD105B_16s_S18_L002_R1_001.fastq.gz,forward
GD105B,/dartfs-hpc/scratch/f002bx6/data_16S/GD105B_16s_S18_L002_R2_001.fastq.gz,reverse
GD106,/dartfs-hpc/scratch/f002bx6/data_16S/GD106_16s_S16_L002_R1_001.fastq.gz,forward
GD106,/dartfs-hpc/scratch/f002bx6/data_16S/GD106_16s_S16_L002_R2_001.fastq.gz,reverse
GD108,/dartfs-hpc/scratch/f002bx6/data_16S/GD108_16s_S15_L002_R1_001.fastq.gz,forward
GD108,/dartfs-hpc/scratch/f002bx6/data_16S/GD108_16s_S15_L002_R2_001.fastq.gz,reverse
GD120,/dartfs-hpc/scratch/f002bx6/data_16S/GD120_16s_S9_L002_R1_001.fastq.gz,forward
GD120,/dartfs-hpc/scratch/f002bx6/data_16S/GD120_16s_S9_L002_R2_001.fastq.gz,reverse
GD122,/dartfs-hpc/scratch/f002bx6/data_16S/GD122_16s_S1_L002_R1_001.fastq.gz,forward
GD122,/dartfs-hpc/scratch/f002bx6/data_16S/GD122_16s_S1_L002_R2_001.fastq.gz,reverse
GD124,/dartfs-hpc/scratch/f002bx6/data_16S/GD124_16s_S2_L002_R1_001.fastq.gz,forward
GD124,/dartfs-hpc/scratch/f002bx6/data_16S/GD124_16s_S2_L002_R2_001.fastq.gz,reverse
GD145,/dartfs-hpc/scratch/f002bx6/data_16S/GD145_16s_S10_L002_R1_001.fastq.gz,forward
GD145,/dartfs-hpc/scratch/f002bx6/data_16S/GD145_16s_S10_L002_R2_001.fastq.gz,reverse
GD153,/dartfs-hpc/scratch/f002bx6/data_16S/GD153_16s_S3_L002_R1_001.fastq.gz,forward
GD153,/dartfs-hpc/scratch/f002bx6/data_16S/GD153_16s_S3_L002_R2_001.fastq.gz,reverse
GD201,/dartfs-hpc/scratch/f002bx6/data_16S/GD201_16s_S8_L002_R1_001.fastq.gz,forward
GD201,/dartfs-hpc/scratch/f002bx6/data_16S/GD201_16s_S8_L002_R2_001.fastq.gz,reverse
GD203,/dartfs-hpc/scratch/f002bx6/data_16S/GD203_16s_S7_L002_R1_001.fastq.gz,forward
GD203,/dartfs-hpc/scratch/f002bx6/data_16S/GD203_16s_S7_L002_R2_001.fastq.gz,reverse
GD204A,/dartfs-hpc/scratch/f002bx6/data_16S/GD204A_16s_S19_L002_R1_001.fastq.gz,forward
GD204A,/dartfs-hpc/scratch/f002bx6/data_16S/GD204A_16s_S19_L002_R2_001.fastq.gz,reverse
GD220,/dartfs-hpc/scratch/f002bx6/data_16S/GD220_16s_S6_L002_R1_001.fastq.gz,forward
GD220,/dartfs-hpc/scratch/f002bx6/data_16S/GD220_16s_S6_L002_R2_001.fastq.gz,reverse
GD233,/dartfs-hpc/scratch/f002bx6/data_16S/GD233_16s_S5_L002_R1_001.fastq.gz,forward
GD233,/dartfs-hpc/scratch/f002bx6/data_16S/GD233_16s_S5_L002_R2_001.fastq.gz,reverse
GD239,/dartfs-hpc/scratch/f002bx6/data_16S/GD239_16s_S11_L002_R1_001.fastq.gz,forward
GD239,/dartfs-hpc/scratch/f002bx6/data_16S/GD239_16s_S11_L002_R2_001.fastq.gz,reverse
GD243,/dartfs-hpc/scratch/f002bx6/data_16S/GD243_16s_S4_L002_R1_001.fastq.gz,forward
GD243,/dartfs-hpc/scratch/f002bx6/data_16S/GD243_16s_S4_L002_R2_001.fastq.gz,reverse
