sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric	group
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	categorical
GD105A	151678	43988	29	39075	30468	20.09	12020	7.92	1
GD105B	141705	92964	65.6	90414	55073	38.86	14374	10.14	1
GD106	48103	4891	10.17	4820	3257	6.77	1617	3.36	3
GD108	451540	312040	69.11	298206	156632	34.69	41447	9.18	3
GD120	268728	209805	78.07	197991	135286	50.34	45283	16.85	2
GD122	389911	280988	72.06	259902	175889	45.11	73546	18.86	3
GD124	150575	127137	84.43	125486	91489	60.76	20831	13.83	1
GD145	35976	24615	68.42	21756	11594	32.23	6223	17.3	2
GD153	225474	160323	71.1	148680	74113	32.87	40292	17.87	3
GD201	482018	343240	71.21	332523	170087	35.29	62168	12.9	2
GD203	268694	129188	48.08	120002	74084	27.57	36199	13.47	2
GD204A	61383	35725	58.2	27214	18695	30.46	9047	14.74	1
GD220	336185	278209	82.75	270307	195669	58.2	51692	15.38	2
GD233	374846	317817	84.79	309888	204849	54.65	44630	11.91	1
GD239	341616	268007	78.45	253159	173165	50.69	65677	19.23	2
GD243	199686	81457	40.79	76569	40046	20.05	16245	8.14	3
